YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,EZ_DESC_07,LC07_NUM,COUNTRY,COUNTY07
1998,OFVZDJ,1,04-Nov-98,1.27,2,8,10,3,0,20,80,0,0,-4.5,0,17e,Uplands (England),16,ENG,Devon
1998,TAZMMI,1,04-Nov-98,2.4,15,20,25,3,0,90,10,0,0,-6.5,0,6e,Westerly lowlands (England),6,ENG,Somerset
1998,HRZNYI,1,19-Aug-98,1.2,30,35,40,1,0,0,0,0,100,8,100,8e,Westerly lowlands (England),8,ENG,Somerset
1998,SJEJAB,1,15-Oct-98,3.2,80,130,70,1,0,0,0,0,100,6.5,0,4e,Easterly lowlands (England),4,ENG,Somerset
1998,NOFKFH,1,15-Oct-98,2.8,28,65,40,1,0,0,70,10,20,-2,5,1e,Westerly lowlands (England),1,ENG,Somerset
1998,HYYEET,1,13-Aug-98,1.85,17,17,16,2,0,0,20,40,40,4.25,1,3e,Easterly lowlands (England),3,ENG,Surrey
1998,MJSKRM,1,11-Aug-98,1.2,20,25,25,1,0,0,30,0,70,8,15,3e,Easterly lowlands (England),3,ENG,Kent
1998,JRZVUS,1,02-Jul-98,3,25,45,48,1,0,0,0,15,85,9.5,1,3e,Easterly lowlands (England),3,ENG,Kent
1998,MZHCNF,1,22-Oct-98,1.8,15,14,14,4,0,0,0,0,100,8,12,5e,Westerly lowlands (England),5,ENG,Wiltshire
1998,UAYXVX,1,02-Sep-98,0.4,2,3,2,2,0,0,90,0,10,-3.25,0,1e,Westerly lowlands (England),1,ENG,Hampshire
1998,ZUJTKP,1,03-Aug-98,6,55,80,60,2,0,0,90,0,10,-2,3,2e,Easterly lowlands (England),2,ENG,Hampshire
1998,DEJBBK,1,05-Sep-98,0.8,5,4,5,2,0,0,5,0,95,8,1,1e,Westerly lowlands (England),1,ENG,South Gloucestershire Unitary Authority
1998,BZJANF,1,14-Oct-98,1.3,8,12,5,2,0,10,40,10,40,6.5,60,2e,Easterly lowlands (England),2,ENG,Wiltshire
1998,OXVLRI,1,01-Jul-98,0.7,10,15,8,2,0,0,0,0,100,8,50,8e,Westerly lowlands (England),8,ENG,Kent
1998,KLOORS,1,01-Dec-98,2.6,3,6,9,5,0,80,20,0,0,-6.5,0,6w,Lowlands (Wales),42,WAL,West Glamorgan
1998,UIZSGP,1,21-Oct-98,2.1,5,7,10,4,0,40,60,0,0,-3.25,0,6w,Lowlands (Wales),42,WAL,Mid Glamorgan
1998,UEDLDK,1,10-Nov-98,1.6,10,10,15,4,0,42,55,3,0,-3.25,0,17w3,Uplands (Wales),19,WAL,Mid Glamorgan
1998,YTAUII,1,11-Nov-98,2.1,15,10,8,4,0,15,85,0,0,-4.5,,5w,Lowlands (Wales),41,WAL,Gwent
1998,LAFOCU,1,11-Nov-98,2.5,65,60,50,4,0,5,60,25,10,2,12,5w,Lowlands (Wales),41,WAL,Gwent
1998,RSDMVR,1,14-Oct-98,9,60,85,70,1,0,10,65,5,20,-3.25,5,2e,Easterly lowlands (England),2,ENG,Wiltshire
1998,RAGOWO,1,03-Sep-98,0.45,5,10,8,2,0,0,20,5,75,8,5,1e,Westerly lowlands (England),1,ENG,Oxfordshire
1998,AAVJXT,1,11-Sep-98,0.55,5,5,5,1,0,0,10,25,65,,0,4e,Easterly lowlands (England),4,ENG,Thurrock Unitary Authority
1998,WCDRAN,1,16-Sep-98,1.7,47,39,32,1,0,65,30,0,5,-9,80,6w,Lowlands (Wales),42,WAL,Dyfed
1998,EARTZW,1,10-Nov-98,5,35,35,20,4,0,75,25,0,0,-7.75,0,5w,Lowlands (Wales),41,WAL,West Glamorgan
1998,NRKWUV,1,10-Nov-98,4.5,40,30,15,4,0,70,30,0,0,-6.5,0,17w2,Uplands (Wales),18,WAL,Mid Glamorgan
1998,ZUFRRX,1,15-Sep-98,4.6,14,14,5,5,0,5,92,0,3,-4.5,0,5w,Lowlands (Wales),41,WAL,Gwent
1998,BXXDRJ,1,04-Sep-98,0.55,3,2,3,2,0,0,0,0,100,8,0,1e,Westerly lowlands (England),1,ENG,Oxfordshire
1998,CLLBKV,1,18-Sep-98,2.3,10,15,12,4,0,94,6,0,0,-7.75,0,15w,Lowlands (Wales),44,WAL,Dyfed
1998,UGXHSQ,1,18-Nov-98,4.3,11,20,9,4,0,70,30,0,0,-7.75,0,17w2,Uplands (Wales),18,WAL,Powys
1998,RRUXQW,1,15-Oct-98,1.57,9,4,8,3,0,55,27,18,0,-6.5,0,17w2,Uplands (Wales),18,WAL,Gwent
1998,GUBLQO,1,17-Nov-98,1.35,5,9,10,3,0,5,95,0,0,-3.25,0,1e,Westerly lowlands (England),1,ENG,Gloucestershire
1998,BGLCUJ,1,06-Nov-98,8.2,50,50,50,4,0,0,60,40,0,-3.25,5,11e,Easterly lowlands (England),11,ENG,Gloucestershire
1998,JUAXZV,1,24-Nov-98,1.9,45,60,60,1,0,0,0,0,100,8,20,1e,Westerly lowlands (England),1,ENG,Buckinghamshire
1998,TIFMNB,1,16-Sep-98,0.6,3,2,3,3,0,20,80,0,0,-3.25,5,7w,Lowlands (Wales),43,WAL,Dyfed
1998,MFKQWC,1,17-Sep-98,0.1,12,12,12,3,0,5,10,0,85,8,5,17w3,Uplands (Wales),19,WAL,Dyfed
1998,JVNJJN,1,20-Oct-98,1.8,25,35,25,3,15,100,0,0,0,-7.75,0,18w,Uplands (Wales),45,WAL,Dyfed
1998,SOXGJY,1,15-Oct-98,1.35,8,5,9,3,0,45,44,11,0,-6.5,0,17e,Uplands (England),16,ENG,County of Herefordshire Unitary Authority
1998,LVPROI,1,24-Nov-98,1.3,8,9,9,3,0,0,0,0,100,8,99,1e,Westerly lowlands (England),1,ENG,County of Herefordshire Unitary Authority
1998,XOJNJF,1,06-Nov-98,0.48,7,8,5,3,0,0,0,0,100,8,4,11e,Easterly lowlands (England),11,ENG,Gloucestershire
1998,VLSKJS,1,09-Sep-98,0.2,4,4,2,1,0,0,2,0,98,8,0,3e,Easterly lowlands (England),3,ENG,Essex
1998,GWTTBV,1,17-Sep-98,1.8,10,25,27,4,5,90,10,0,0,-7.75,0,6w,Lowlands (Wales),42,WAL,Dyfed
1998,BUITKA,1,17-Sep-98,0.75,5,7,7,4,0,25,70,0,5,-3.25,0,15w,Lowlands (Wales),44,WAL,Dyfed
1998,NDGZWZ,1,20-Oct-98,1.1,5,7,4,4,0,55,45,0,0,-7.75,0,17w2,Uplands (Wales),18,WAL,Powys
1998,TSVOCK,1,30-Oct-98,0.6,5,8,8,2,0,0,70,0,30,-3.25,0,9e,Easterly lowlands (England),9,ENG,County of Herefordshire Unitary Authority
1998,LTVPSQ,1,14-Oct-98,1.1,11,30,12,1,0,0,0,0,100,8,90,1e,Westerly lowlands (England),1,ENG,County of Herefordshire Unitary Authority
1998,SYFGLR,1,05-Nov-98,0.95,8,15,14,2,0,0,5,0,95,8,0,1e,Westerly lowlands (England),1,ENG,Worcestershire
1998,VFFKQD,1,04-Sep-98,4.3,74,83,72,1,0,0,0,0,100,8,40,9e,Easterly lowlands (England),9,ENG,Oxfordshire
1998,YGQIJY,1,04-Sep-98,0.4,4,2,3,1,0,0,75,0,25,-3.25,1,11e,Easterly lowlands (England),11,ENG,Milton Keynes Unitary Authority
1998,ELMOEX,1,10-Jun-98,6.5,15,25,15,1,0,4,6,0,90,8,0,11e,Easterly lowlands (England),11,ENG,Bedfordshire
