dataset_id,species,species_original,species.new,corrected,comment,checked
alston_2021c,Achyranthes_aspera,Achyranthes_aspera,Achyranthes_aspera,0,NA,1
alston_2021c,Achyranthes_aspera.sicula,Achyranthes_aspera.sicula,Achyranthes_aspera.sicula,0,NA,1
alston_2021c,Adenia_volkensii,Adenia_volkensii,Adenia_volkensii,0,NA,1
alston_2021c,Amaranthus_graecizans,Amaranthus_graecizans,Amaranthus_graecizans,0,NA,1
alston_2021c,Aristida_congesta,Aristida_congesta,Aristida_congesta,0,NA,1
alston_2021c,Aristida_kenyensis,Aristida_kenyensis,Aristida_kenyensis,0,NA,1
alston_2021c,Aristida_lumped,Aristida_lumped,Aristida_lumped,0,NA,1
alston_2021c,Asparagus_falcatus,Asparagus_falcatus,Asparagus_falcatus,0,NA,1
alston_2021c,Asparagus_racemosus,Asparagus_racemosus,Asparagus_racemosus,0,NA,1
alston_2021c,Asystasia_mysorensis,Asystasia_mysorensis,Asystasia_mysorensis,0,NA,1
alston_2021c,Balanites_aegyptica,Balanites_aegyptica,Balanites_aegyptica,0,NA,1
alston_2021c,Barleria_eranthemoides,Barleria_eranthemoides,Barleria_eranthemoides,0,NA,1
alston_2021c,Barleria_gracilispina,Barleria_gracilispina,Barleria_gracilispina,0,NA,1
alston_2021c,Barleria_ramulosa,Barleria_ramulosa,Barleria_ramulosa,0,NA,1
alston_2021c,Barleria_spinisepala,Barleria_spinisepala,Barleria_spinisepala,0,NA,1
alston_2021c,Barleria_volkensii,Barleria_volkensii,Barleria_volkensii,0,NA,1
alston_2021c,Blepharis,Blepharis,Blepharis,0,NA,1
alston_2021c,Blepharis_integrifolia,Blepharis_integrifolia,Blepharis_integrifolia,0,NA,1
alston_2021c,Blepharis_maderaspatensis,Blepharis_maderaspatensis,Blepharis_maderaspatensis,0,NA,1
alston_2021c,Bothriochloa_insculpta,Bothriochloa_insculpta,Bothriochloa_insculpta,0,NA,1
alston_2021c,Bothriochloa_insculpta_&_Bothriochloa_radicans,Bothriochloa_insculpta_&_Bothriochloa_radicans,Bothriochloa_insculpta_&_Bothriochloa_radicans,0,NA,1
alston_2021c,Brachiaria_eruciformis_&_Brachiaria_lachnantha_&_Brachiaria_leersoides_&_Brachiaria_leucracrantha,Brachiaria_eruciformis_&_Brachiaria_lachnantha_&_Brachiaria_leersoides_&_Brachiaria_leucracrantha,Brachiaria_eruciformis_&_Brachiaria_lachnantha_&_Brachiaria_leersoides_&_Brachiaria_leucracrantha,0,NA,1
alston_2021c,Brachiaria_leersoides,Brachiaria_leersoides,Brachiaria_leersoides,0,NA,1
alston_2021c,Brachiaria_leucacrantha,Brachiaria_leucacrantha,Brachiaria_leucacrantha,0,NA,1
alston_2021c,Caralluma_arachnoidea,Caralluma_arachnoidea,Caralluma_arachnoidea,0,NA,1
alston_2021c,Cassia,Cassia,Cassia,0,NA,1
alston_2021c,Cenchrus_ciliaris,Cenchrus_ciliaris,Cenchrus_ciliaris,0,NA,1
alston_2021c,Cenchrus_ciliaris_&_Cenchrus_biflorus,Cenchrus_ciliaris_&_Cenchrus_biflorus,Cenchrus_ciliaris_&_Cenchrus_biflorus,0,NA,1
alston_2021c,Ceropegia_aristolochioides,Ceropegia_aristolochioides,Ceropegia_aristolochioides,0,NA,1
alston_2021c,Chamaecrista_mimosoides,Chamaecrista_mimosoides,Chamaecrista_mimosoides,0,NA,1
alston_2021c,Chascanum_hildebrandtii,Chascanum_hildebrandtii,Chascanum_hildebrandtii,0,NA,1
alston_2021c,Chenopodium,Chenopodium,Chenopodium,0,NA,1
alston_2021c,Chenopodium_carinatum,Chenopodium_carinatum,Chenopodium_carinatum,0,NA,1
alston_2021c,Chenopodium_opulifolium,Chenopodium_opulifolium,Chenopodium_opulifolium,0,NA,1
alston_2021c,Chloris_roxburghiana,Chloris_roxburghiana,Chloris_roxburghiana,0,NA,1
alston_2021c,Chloris_virgata,Chloris_virgata,Chloris_virgata,0,NA,1
alston_2021c,Chlorophytum_gallabatense,Chlorophytum_gallabatense,Chlorophytum_gallabatense,0,NA,1
alston_2021c,Chlorophytum_subpetiolatum,Chlorophytum_subpetiolatum,Chlorophytum_subpetiolatum,0,NA,1
alston_2021c,Cleome_monophylla,Cleome_monophylla,Cleome_monophylla,0,NA,1
alston_2021c,Coccinia_trilobata,Coccinia_trilobata,Coccinia_trilobata,0,NA,1
alston_2021c,Commelina,Commelina,Commelina,0,NA,1
