"park","plot","visit","quadrat","genus_species","occurrence"
"Nitmiluk","1","T1","25","Boerhavia dominii",1
"Nitmiluk","1","T1","25","Sorghum timorense",80
"Nitmiluk","1","T1","26","Boerhavia dominii",1
"Nitmiluk","1","T1","26","Heteropogon contortus",4
"Nitmiluk","1","T1","26","Sorghum timorense",75
"Nitmiluk","1","T1","27","Boerhavia dominii",1
"Nitmiluk","1","T1","27","Heteropogon contortus",15
"Nitmiluk","1","T1","27","Indigastrum parviflorum",1
"Nitmiluk","1","T1","27","Sorghum timorense",60
"Nitmiluk","1","T1","27","Tribulopis pentandra",1
"Nitmiluk","1","T1","28","Boerhavia dominii",1
"Nitmiluk","1","T1","28","Crotalaria medicaginea",1
"Nitmiluk","1","T1","28","Indigastrum parviflorum",1
"Nitmiluk","1","T1","28","Sorghum timorense",35
"Nitmiluk","1","T1","29","Boerhavia dominii",1
"Nitmiluk","1","T1","29","Calandrinia uniflora",1
"Nitmiluk","1","T1","29","Crotalaria medicaginea",1
"Nitmiluk","1","T1","29","Indigastrum parviflorum",1
"Nitmiluk","1","T1","29","Sorghum timorense",35
"Nitmiluk","1","T1","29","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T1","30","Boerhavia dominii",1
"Nitmiluk","1","T1","30","Heliotropium ventricosum",1
"Nitmiluk","1","T1","30","Indigastrum parviflorum",1
"Nitmiluk","1","T1","30","Portulaca bicolor",1
"Nitmiluk","1","T1","30","Sorghum timorense",35
"Nitmiluk","1","T1","30","Trianthema rhynchocalyptrum",2
"Nitmiluk","1","T1","31","Indigastrum parviflorum",1
"Nitmiluk","1","T1","31","Portulaca bicolor",1
"Nitmiluk","1","T1","31","Sorghum timorense",50
"Nitmiluk","1","T1","32","Boerhavia dominii",1
"Nitmiluk","1","T1","32","Portulaca bicolor",1
"Nitmiluk","1","T1","32","Sorghum timorense",5
"Nitmiluk","1","T1","33","Boerhavia dominii",1
"Nitmiluk","1","T1","33","Crotalaria medicaginea",1
"Nitmiluk","1","T1","33","Portulaca bicolor",1
"Nitmiluk","1","T1","33","Sorghum timorense",55
"Nitmiluk","1","T1","33","Tribulopis pentandra",1
"Nitmiluk","1","T1","34","Boerhavia dominii",1
"Nitmiluk","1","T1","34","Calandrinia uniflora",1
"Nitmiluk","1","T1","34","Crotalaria medicaginea",1
"Nitmiluk","1","T1","34","Indigofera colutea",1
"Nitmiluk","1","T1","34","Portulaca bicolor",1
"Nitmiluk","1","T1","34","Sorghum timorense",55
"Nitmiluk","1","T1","35","Calandrinia uniflora",1
"Nitmiluk","1","T1","35","Crotalaria medicaginea",1
"Nitmiluk","1","T1","35","Heliotropium ventricosum",1
"Nitmiluk","1","T1","35","Indigastrum parviflorum",1
"Nitmiluk","1","T1","35","Indigofera colutea",1
"Nitmiluk","1","T1","35","Sorghum timorense",35
"Nitmiluk","1","T1","36","Boerhavia dominii",1
"Nitmiluk","1","T1","36","Heliotropium ventricosum",1
"Nitmiluk","1","T1","36","Indigastrum parviflorum",1
"Nitmiluk","1","T1","36","Portulaca bicolor",1
"Nitmiluk","1","T1","36","Sorghum timorense",35
"Nitmiluk","1","T1","37","Heliotropium ventricosum",1
"Nitmiluk","1","T1","37","Indigastrum parviflorum",1
"Nitmiluk","1","T1","37","Sorghum timorense",25
"Nitmiluk","1","T1","37","Trianthema rhynchocalyptrum",1
"Nitmiluk","1","T1","38","Euphorbia armstrongiana",1
"Nitmiluk","1","T1","38","Portulaca bicolor",1
"Nitmiluk","1","T1","38","Sorghum timorense",15
"Nitmiluk","1","T1","39","Heteropogon contortus",4
"Nitmiluk","1","T1","39","Indigastrum parviflorum",1
"Nitmiluk","1","T1","39","Sorghum timorense",85
"Nitmiluk","1","T1","40","Calandrinia uniflora",1
"Nitmiluk","1","T1","40","Eriachne obtusa",1
"Nitmiluk","1","T1","40","Portulaca bicolor",1
"Nitmiluk","1","T1","40","Sorghum timorense",15
"Nitmiluk","1","T2","1","Heliotropium ventricosum",1
"Nitmiluk","1","T2","1","Mnesithea formosa",1
"Nitmiluk","1","T2","1","Sorghum timorense",20
"Nitmiluk","1","T2","1","Trianthema rhynchocalyptrum",5
"Nitmiluk","1","T2","2","Crotalaria brevis",1
"Nitmiluk","1","T2","2","Euphorbia armstrongiana",1
"Nitmiluk","1","T2","2","Heliotropium ventricosum",1
"Nitmiluk","1","T2","2","Heteropogon contortus",15
"Nitmiluk","1","T2","2","Mnesithea formosa",1
"Nitmiluk","1","T2","2","Sorghum timorense",15
"Nitmiluk","1","T2","3","Eriachne obtusa",2
