"plot","est_date","latitude","longitude","district","group"
"KAKFIRE_085",1995-03-03,"-12.28737996",132.85857,"East Alligator","Lowland Rainforest"
"KAKFIRE_086",1995-02-21,"-13.04199398",132.162023,"South Alligator","Lowland Open Forest"
"KAKFIRE_087",1995-02-14,"-12.66646",132.47992,"South Alligator","Lowland Rainforest"
"KAKFIRE_088",1995-03-01,"-12.14769898",132.671152,"East Alligator","Lowland Rainforest"
"KAKFIRE_089",1995-04-01,"-12.285877",132.665453,"East Alligator","Floodplain"
"KAKFIRE_090",1995-04-01,"-12.225534",132.753951,"East Alligator","Lowland Rainforest"
"KAKFIRE_092",1995-02-27,"-12.4306717",132.9482184,"East Alligator","Lowland Open Forest"
"KAKFIRE_093",1995-02-28,"-12.408807",132.957827,"East Alligator","Sandstone Heath"
"KAKFIRE_094",1995-02-28,"-12.41016503",132.956483,"East Alligator","Lowland Open Forest"
"KAKFIRE_096",1995-02-23,"-12.11375998",132.417615,"South Alligator","Lowland Open Forest"
"KAKFIRE_097",1995-03-01,"-12.14748097",132.611265,"East Alligator","Lowland Open Forest"
"KAKFIRE_098",1995-02-22,"-12.19910997",132.22597,"South Alligator","Lowland Open Forest"
"KAKFIRE_099",1995-02-28,"-12.43242703",132.950555,"East Alligator","Sandstone Heath"
"KAKFIRE_100",1995-02-06,"-12.93149997",132.5701599,"Jim Jim","Lowland Open Forest"
"KAKFIRE_110",1995-03-21,"-12.88038997",132.76589,"Nourlangie","Lowland Open Forest"
"KAKFIRE_111",1995-03-07,"-12.41498597",132.912147,"East Alligator","Lowland Woodland"
"KAKFIRE_112",1995-03-06,"-12.51576",132.95504,"East Alligator","Sandstone Heath"
"KAKFIRE_113",1995-09-07,"-12.51914",132.21153,"South Alligator","Floodplain"
"KAKFIRE_114",1995-09-06,"-12.69924003",132.50422,"South Alligator","Floodplain"
"KAKFIRE_115",1995-03-03,"-12.34445997",132.84058,"East Alligator","Lowland Rainforest"
"KAKFIRE_116",1995-03-13,"-12.61892002",132.87475,"Nourlangie","Lowland Woodland"
