"This table was prepared by Dr Roel van Klink to provide a taxonomical backbone to the taxa reported in Muschet et al 2017."
"","codes","long_names","Taxon","Phylum","Class","Subclass","Order","Suborder","Family","Subfamily","Genus","Species"
"46484","CYDO","Cymbiodyta dorsalis","Cymbiodyta_dorsalis","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Cymbiodyta","dorsalis"
"47473","DAPH","Daphnia","Daphnia","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Daphniidae","","Daphnia",""
"48462","DASY","Dasycorixa sp.","Dasycorixa_sp.","Arthropoda","Insecta","","Hemiptera","Heteroptera","Corixidae","Corixinae","Dasycorixa",""
"49451","DIAP","Diaphanosoma","Diaphanosoma","Arthropoda","Branchiopoda","","Diplostraca","Cladocera","Sididae","","Diaphanosoma",""
"50440","DIXI","Dixidae","Dixidae","Arthropoda","Insecta","","Diptera","Nematocera","Dixidae","","",""
"51429","DOLI","Dolichopodidae","Dolichopodidae","Arthropoda","Insecta","","Diptera","Brachycera","Dolichopodidae","","",""
"52418","DYTI","Dytiscidae","Dytiscidae","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","","",""
"53407","DYTI2","Dytiscus","Dytiscus","Arthropoda","Insecta","","Coleoptera","Adephaga","Dytiscidae","Dytiscinae","Dytiscus",""
"54396","ELMI","Elmidae","Elmidae","Arthropoda","Insecta","","Coleoptera","Polyphaga","Elmidae","","",""
"55385","ENAL","Enallagma","Enallagma","Arthropoda","Insecta","","Odonata","Zygoptera","Coenagrionidae","","Enallagma",""
"56374","ENOC","Enochrus","Enochrus","Arthropoda","Insecta","","Coleoptera","Polyphaga","Hydrophilidae","Hydrophilinae","Enochrus",""
"57363","ENTO","Entomobryidae","Entomobryidae","Arthropoda","Entognatha","Collembola","","","Entomobryidae","","",""
"58352","EPHY","Ephydridae","Ephydridae","Arthropoda","Insecta","","Diptera","Brachycera","Ephydridae","","",""
"59341","ERGA","Ergasilus","Ergasilus","Arthropoda","Hexanauplia","","Poecilostomatoida","","Ergasilidae","","Ergasilus",""
"60330","ERPO","Erpobdella","Erpobdella","Annelida","Clitellata","","Arhynchobdellida","","Erpobdellidae","","",""
"61319","EUBU","Eubranchipus bundyi","Eubranchipus_bundyi","Arthropoda","Branchiopoda","","Anostraca","","Chirocephalidae","","Eubranchipus","bundyi"
