"park","plot","visit","date","comments"
"Kakadu","31","T4",2009-03-10,""
"Kakadu","31","T5",2014-05-08,""
"Kakadu","32","T1",1994-12-16,""
"Kakadu","32","T2",2000-03-01,""
"Kakadu","32","T3",2005-02-15,""
"Kakadu","32","T5",2013-04-16,""
"Kakadu","33","T1",1995-01-06,""
"Kakadu","33","T2",2000-02-29,""
"Kakadu","33","T3",2005-02-14,""
"Kakadu","33","T5",2013-04-16,""
"Kakadu","34","T1",1994-12-14,""
"Kakadu","34","T2",2000-03-08,""
"Kakadu","34","T3",2005-02-16,""
"Kakadu","34","T5",2013-04-16,""
"Kakadu","36","T1",1994-12-15,""
"Kakadu","36","T2",2000-02-29,""
"Kakadu","36","T3",2005-02-14,""
"Kakadu","36","T5",2013-04-16,""
"Kakadu","37","T1",1995-01-07,""
"Kakadu","37","T2",2001-03-28,""
"Kakadu","37","T3",2005-02-15,"only 30 quadrats"
"Kakadu","37","T5",2013-04-16,""
"Kakadu","39","T1",1995-02-01,""
"Kakadu","39","T2",1999-03-09,""
"Kakadu","39","T3",2004-02-22,""
"Kakadu","39","T4",2009-03-14,""
"Kakadu","39","T5",2014-02-28,""
"Kakadu","40","T1",1994-12-14,""
"Kakadu","40","T2",2000-03-08,""
"Kakadu","40","T3",2005-02-16,""
"Kakadu","40","T5",2013-04-16,""
"Kakadu","41","T1",1995-01-03,""
"Kakadu","41","T2",1999-04-13,""
"Kakadu","41","T3",2004-03-01,""
"Kakadu","41","T4",2009-03-09,""
"Kakadu","41","T5",2013-04-16,""
"Kakadu","42","T1",1995-01-20,""
"Kakadu","42","T2",2000-02-23,""
"Kakadu","42","T3",2005-03-01,""
"Kakadu","42","T5",2013-04-16,"recently burnt, little ground cover"
"Kakadu","43","T1",1995-01-30,""
"Kakadu","43","T2",2000-03-10,""
"Kakadu","43","T3",2005-02-21,""
"Kakadu","43","T5",2013-04-16,""
"Kakadu","44","T1",1995-01-23,""
"Kakadu","44","T2",2000-03-02,""
"Kakadu","44","T3",2006-05-17,""
"Kakadu","44","T5",2013-04-18,""
"Kakadu","46","T1",1995-02-08,""
"Kakadu","46","T2",1999-04-12,""
"Kakadu","46","T3",2005-04-01,""
"Kakadu","46","T4",2009-03-15,""
"Kakadu","46","T5",2014-02-26,""
"Kakadu","47","T1",1995-02-08,""
"Kakadu","47","T2",1999-04-12,""
"Kakadu","47","T3",2004-02-18,""
"Kakadu","47","T4",2009-03-15,""
"Kakadu","47","T5",2014-02-25,"Ground covers recorded 0-40m & 0-40m. Shrub <50 first 40m in pencil last 10m in pen."
"Kakadu","48","T1",1995-01-30,""
"Kakadu","48","T2",1999-03-21,""
"Kakadu","48","T5",2013-04-16,""
"Kakadu","48","T3",2006-05-17,""
"Kakadu","60","T1",1995-02-03,""
"Kakadu","60","T2",1999-03-10,""
"Kakadu","60","T3",2004-02-18,""
"Kakadu","60","T5",2013-04-16,""
"Kakadu","61","T1",1995-02-02,""
"Kakadu","61","T2",1999-04-06,""
"Kakadu","61","T3",2004-02-16,""
"Kakadu","61","T4",2009-03-16,""
"Kakadu","61","T5",2014-02-28,""
"Kakadu","62","T1",1995-02-02,""
"Kakadu","62","T2",1999-03-10,""
"Kakadu","62","T3",2004-02-17,""
"Kakadu","62","T5",2013-04-16,""
"Kakadu","63","T1",1995-02-03,""
"Kakadu","63","T2",1999-03-08,""
"Kakadu","63","T3",2004-02-17,""
"Kakadu","63","T4",2009-03-15,""
"Kakadu","63","T5",2014-02-27,""
"Kakadu","64","T1",1995-02-03,""
"Kakadu","64","T2",1999-03-02,""
"Kakadu","64","T3",2004-02-16,""
"Kakadu","64","T4",2009-03-15,""
"Kakadu","64","T5",2014-02-27,""
"Kakadu","65","T1",1995-02-03,""
"Kakadu","65","T2",2000-03-09,""
"Kakadu","65","T3",2004-02-19,""
"Kakadu","65","T4",2009-03-14,""
"Kakadu","65","T5",2014-02-27,""
"Kakadu","66","T1",1995-02-04,""
"Kakadu","66","T2",1999-03-09,""
"Kakadu","66","T3",2004-02-17,""
"Kakadu","66","T4",2009-03-14,""
"Kakadu","66","T5",2014-02-27,""
"Kakadu","67","T1",1995-02-04,""
"Kakadu","67","T2",1999-03-11,""
"Kakadu","67","T3",2004-03-01,""
"Kakadu","67","T4",2009-03-12,""
"Kakadu","67","T5",2013-04-16,""
"Kakadu","68","T1",1995-02-05,""
"Kakadu","68","T2",2000-03-09,""
"Kakadu","68","T3",2005-04-01,""
"Kakadu","68","T5",2013-04-16,""
"Kakadu","69","T1",1995-02-05,""
"Kakadu","69","T2",1999-03-31,""
"Kakadu","69","T3",2004-02-18,""
"Kakadu","69","T4",2009-03-12,""
"Kakadu","69","T5",2014-02-26,""
"Kakadu","70","T1",1995-02-21,""
"Kakadu","70","T2",2000-02-22,""
"Kakadu","70","T3",2005-02-17,""
"Kakadu","71","T1",1995-02-15,""
"Kakadu","71","T2",2000-02-23,""
"Kakadu","71","T3",2005-03-23,""
"Kakadu","71","T5",2013-04-16,""
"Kakadu","72","T1",1995-02-15,""
"Kakadu","72","T2",2000-02-23,""
"Kakadu","72","T3",2005-03-02,""
"Kakadu","72","T5",2013-04-16,""
"Kakadu","73","T1",1995-02-16,""
"Kakadu","73","T2",2000-02-09,""
"Kakadu","73","T3",2005-03-01,""
"Kakadu","73","T5",2013-04-16,""
"Kakadu","74","T1",1995-02-16,""
"Kakadu","74","T2",2000-02-11,""
"Kakadu","74","T3",2005-02-28,""
"Kakadu","74","T5",2013-04-25,""
"Kakadu","75","T1",1995-01-31,""
"Kakadu","75","T2",2000-03-09,""
"Kakadu","75","T3",2005-02-21,""
"Kakadu","75","T5",2013-04-21,""
"Kakadu","76","T1",1995-01-31,""
"Kakadu","76","T2",1999-03-12,""
"Kakadu","76","T3",2004-02-22,""
"Kakadu","76","T5",2013-04-21,""
"Kakadu","77","T1",1995-02-07,""
"Kakadu","77","T2",1999-04-12,""
"Kakadu","77","T3",2004-02-25,""
"Kakadu","77","T4",2009-03-09,""
"Kakadu","77","T5",2013-04-19,""
"Kakadu","79","T1",1995-02-14,""
"Kakadu","79","T2",2000-02-08,""
"Kakadu","79","T3",2005-02-28,""
"Kakadu","79","T5",2013-04-25,""
"Kakadu","80","T1",1995-02-19,""
"Kakadu","80","T2",2000-02-21,""
"Kakadu","80","T3",2005-04-01,""
"Kakadu","80","T5",NA,"non-ongoing"
"Kakadu","81","T1",1995-01-18,""
"Kakadu","81","T2",2000-02-10,""
"Kakadu","81","T3",2005-02-28,""
"Kakadu","81","T5",2013-04-23,""
"Kakadu","82","T1",1995-02-19,""
"Kakadu","82","T2",2000-02-21,""
"Kakadu","82","T3",2005-04-01,""
"Kakadu","82","T5",2013-04-23,""
"Kakadu","84","T1",1995-02-22,""
"Kakadu","84","T2",2000-02-22,""
"Kakadu","84","T3",2005-04-01,""
"Kakadu","84","T5",2013-04-22,""
"Kakadu","85","T1",1995-03-03,""
"Kakadu","85","T2",2000-02-17,""
"Kakadu","85","T3",2005-04-01,""
"Kakadu","85","T5",2014-03-06,"non-ongoing, plot lost.  No assesment"
"Kakadu","86","T1",1995-02-21,""
"Kakadu","86","T2",2000-02-22,""
"Kakadu","86","T3",2005-02-17,""
"Kakadu","86","T5",2013-04-19,""
"Kakadu","87","T1",1995-02-14,""
"Kakadu","87","T2",2000-02-11,""
"Kakadu","87","T3",2005-03-01,""
"Kakadu","87","T5",2014-03-06,""
"Kakadu","88","T1",1995-03-01,""
"Kakadu","88","T2",2000-02-17,""
"Kakadu","88","T3",2005-02-22,""
"Kakadu","88","T5",2014-03-05,"non-ongoing, Hyptis plot"
"Kakadu","89","T1",1995-04-01,""
"Kakadu","89","T2",2000-02-18,""
"Kakadu","89","T3",2005-02-22,""
"Kakadu","89","T5",2013-10-08,""
"Kakadu","90","T1",1995-04-01,""
"Kakadu","90","T2",2000-02-18,""
"Kakadu","90","T3",2005-04-01,""
"Kakadu","90","T5",2014-03-05,"Pig damage across the plot. % per Quadrat on orig. sheet"
"Kakadu","92","T1",1995-02-27,""
"Kakadu","92","T2",2000-02-15,""
"Kakadu","92","T3",2005-02-23,""
"Kakadu","92","T5",2013-04-20,""
"Kakadu","93","T1",1995-02-28,""
"Kakadu","93","T2",2000-02-16,""
"Kakadu","93","T3",2004-03-02,""
"Kakadu","93","T4",2009-03-23,""
"Kakadu","93","T5",2014-03-05,"No corner post at bottom of hill. Top post held by rocks - unstable."
"Kakadu","94","T1",1995-02-28,""
"Kakadu","94","T2",2000-02-16,""
"Kakadu","94","T3",2006-05-17,""
"Kakadu","94","T5",2013-04-16,""
"Kakadu","95","T1",1995-03-03,""
"Kakadu","96","T1",1995-02-23,""
"Kakadu","96","T2",2000-02-21,""
"Kakadu","96","T3",2005-04-01,""
"Kakadu","96","T5",2014-03-05,"Island burnt 2012 but not plot."
"Kakadu","97","T1",1995-03-01,""
"Kakadu","97","T2",2000-02-17,""
"Kakadu","97","T3",2005-04-01,""
"Kakadu","97","T5",2014-03-05,""
"Kakadu","98","T1",1995-02-22,""
"Kakadu","98","T2",2000-02-22,""
"Kakadu","98","T3",2005-04-01,""
"Kakadu","98","T5",2013-04-22,""
"Kakadu","99","T1",1995-02-28,""
"Kakadu","99","T2",1999-03-15,""
"Kakadu","99","T3",2004-03-01,""
"Kakadu","99","T4",2009-03-23,""
"Kakadu","99","T5",2014-03-06,""
