"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","dbh9","is_the_tree_dead"
"Kakadu","1","T2","Glochidion sumatranum","41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T2","Glochidion sumatranum","42",1,NA,27.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","43",11,"1",15.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","44",10,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","45",9,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Livistona mariae subsp. mariae","46",20,"1",26.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","47",12,"1",14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Glochidion sumatranum","48",2,"1",6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Terminalia microcarpa","49",14,"1",12.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Terminalia microcarpa","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T2","Sesbania formosa","51",10,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","52",12,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","53",12,"1",18.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","54",10,"1",15.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","55",9,"1",16.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Terminalia microcarpa","56",14,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Terminalia microcarpa","57",13,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Terminalia microcarpa","58",15,"1",21.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","59",7,"1",10.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","60",8,"1",14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","61",9,"2",14.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","62",8,"1",14.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","63",8,"1",13.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","64",7,"1",13.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","65",5,"1",12,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Pandanus spiralis","66",7,"1",14,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","67",17,"1",24.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Timonius timon","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T2","Sesbania formosa","69",6,NA,11.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","70",14,"1",13,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","71",12,NA,11.1,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","72",16,NA,21.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T2","Timonius timon","74",3,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T2","Sesbania formosa","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T2","Sesbania formosa","76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T2","Timonius timon","78",12,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
