extracted from matthews_2016 DataS1 excel table. Piney Ck 12-site data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Year,Station,Ichthyomyzon gagei,Lampetra aepyptera,Lethenteron appendix,Campostoma spp.,Chrosomus erythrogaster,Cyprinella galactura,Erimystax dissimilis,Hybopsis amblops,Luxilus chrysocephalus,Luxilus pilsbryi,Nocomis c.f. biguttatus,Notemigonus crysoleucas,Notropis boops,Notropis greenei,Notropis nubilus,Notropis ozarcanus,Notropis percobromus,Notropis sabinae,Notropis telescopus,Pimephales notatus,Pimeplales promelas,Semotilus atromaculatus,Carpiodes carpio,Erimyon oblongus,Hypentelium nigricans,Moxostoma duquesnei,Moxostoma erythrurum,Ameiurus natalis,Noturus albater,Noturus exilis,Fundulus catenatus,Fundulus olivaceus,Gambusia affinis,Labidesthes sicculus,Ambloplites constellatus,Lepomis cyanellus,Lepomis macrochirus,Lepomis megalotis,Lepomis microlophus,Micropterus dolomieu,Microperus punctulatus,Microperus salmoides,Etheostoma blennioides,Etheostoma caeruleum,Etheostoma spectabile,Etheostoma zonale,Cottus carolinae,Cottus immaculatus
apr,1973,p1,1,0,0,16,0,80,0,15,6,116,0,1,1,0,135,0,23,0,24,1,0,0,0,0,0,0,0,0,4,0,6,9,0,0,0,0,0,0,0,0,1,0,0,36,1,0,0,1
apr,1973,p2,0,0,0,2,0,9,0,2,1,55,0,0,0,0,35,0,8,0,43,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4
apr,1973,p4,0,0,0,4,0,42,0,22,6,34,0,0,2,0,31,0,14,0,80,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0
apr,1973,p5,0,0,0,17,1,17,0,0,2,143,1,0,11,0,12,0,1,0,201,2,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
apr,1973,p6,0,0,0,17,0,41,0,10,0,27,1,0,23,0,16,0,0,0,148,19,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0,0,0,1,0,0,0,0,0,4,4,0,1,0
apr,1973,p7,0,0,0,3,0,7,0,2,1,7,0,0,0,0,0,0,1,0,30,7,0,0,0,0,0,3,0,0,0,1,24,1,0,0,0,0,2,5,0,1,0,1,0,5,11,0,0,0
apr,1973,p8,0,0,0,0,0,12,0,0,0,2,0,0,19,0,7,0,0,0,16,4,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0
apr,1973,p9,0,0,0,20,0,0,0,3,0,27,3,0,0,0,40,0,0,0,7,7,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,4,0
apr,1973,p10,0,0,0,12,0,0,0,0,0,13,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,4,22,0,1,0
apr,1973,m1,0,0,0,2,0,17,0,0,0,29,1,0,2,0,3,0,7,0,47,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
apr,1973,m2,0,0,0,2,0,11,0,0,3,17,0,1,0,0,1,0,0,1,40,27,0,0,0,0,0,0,0,0,0,0,70,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
apr,1973,m3,0,0,0,2,0,53,0,0,0,1,0,0,0,0,0,0,0,0,2,16,0,1,0,0,1,0,0,0,0,0,37,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0
sum,1982,p1,0,0,0,10,0,39,0,0,3,550,5,0,0,23,6,0,54,0,28,1,0,0,0,0,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,1,0,0,1,21,0,0,0,4
sum,1982,p2,0,0,0,5,0,72,1,3,0,285,13,0,0,0,47,0,23,0,60,4,0,0,0,0,1,5,0,0,2,0,3,3,0,1,2,1,0,1,0,6,0,0,2,6,0,0,1,35
sum,1982,p4,0,0,0,2,0,77,0,11,68,46,2,0,14,0,31,0,4,0,205,5,0,0,0,0,0,2,0,0,0,0,3,21,0,0,0,0,0,14,0,4,0,0,1,10,0,1,1,1
sum,1982,p5,0,0,0,6,0,48,0,0,1,84,5,0,0,0,6,0,1,0,165,1,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,1,3,0,4,0,0,2,17,0,1,4,5
sum,1982,p6,0,0,0,73,0,31,0,3,1,10,0,0,34,0,3,0,0,1,144,21,0,0,0,0,0,11,2,0,0,9,47,48,0,0,1,0,0,10,0,4,0,1,0,25,8,2,0,0
sum,1982,p7,0,0,0,21,0,12,0,1,0,0,0,0,67,0,0,0,0,4,29,19,0,0,0,3,0,1,2,3,0,1,24,98,0,0,0,1,0,38,0,1,0,5,0,1,3,0,0,0
sum,1982,p8,0,0,0,57,0,88,0,0,3,8,1,0,92,0,6,0,0,0,164,44,0,0,0,3,0,0,0,0,0,12,65,47,0,0,0,1,0,3,0,1,0,0,0,40,56,0,0,0
sum,1982,p9,0,0,0,94,0,0,0,0,0,23,31,0,7,0,22,0,0,0,0,3,0,5,0,1,0,1,0,0,0,0,6,43,0,0,0,1,2,6,0,0,0,0,0,11,58,0,3,0
sum,1982,p10,0,0,0,124,7,0,0,0,0,56,25,0,3,0,29,0,0,0,0,6,0,41,0,0,0,0,0,0,0,1,13,28,0,0,0,1,0,5,0,0,0,0,0,8,90,0,13,0
sum,1982,m1,0,0,0,61,0,40,0,2,0,69,3,0,0,0,30,0,2,0,50,9,0,0,0,0,4,5,2,1,4,0,68,9,0,0,0,0,1,0,0,4,0,0,0,3,0,0,0,4
sum,1982,m2,0,0,0,44,0,63,0,0,0,10,3,0,26,0,13,0,0,88,9,48,0,11,0,0,0,3,2,0,0,1,63,101,0,0,0,4,0,7,0,0,0,2,0,3,32,0,6,0
sum,1982,m3,0,0,0,85,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,73,0,6,0,2,0,0,2,0,0,0,159,130,0,0,0,3,0,6,0,0,0,0,0,0,18,0,0,0
