species,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7A,7B,7C,8A,8B,8C,9A,9B,9C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,15A,15B,15C,16A,16B,16C,17A,17B,17C,18A,18B,18C,19A,19B,19C,20A,20B,20C,22A,22B,22C,23A,23B,23C
Campanula scheuchzeri subsp. scheuchzeri,"","","","","","","","","","","","",r,"","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","",1,"","","","","","","","","","","","","","","","","","",1,""
Campanula trachelium,"","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cardamine bulbifera,1,3,3,+,"","","","","","",+,1,"","","","","",+,+,+,"",1,+,"","","","",1,1,1,"","","","","","","","","","","",+,+,+,"",1,1,1,+,+,"",1,+,"","","","","",2,"","","","","","",""
Cardamine chelidonia,"","","","",+,"","","","","","","","","","","","","","","","","","","","","","",2,"","",2,2,1,1,+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cardamine heptaphylla,"","",1,1,+,"","","","","","","","","","","","",2,"","","","","","","","","",1,1,2,+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Cardamine impatiens subsp. impatiens,"","","",+,2,"","","","","","","",+,+,+,"","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Carduus pycnocephalus subsp. pycnocephalus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Carex flacca,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","","","","",""
Carex panicea/alba,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","",2,"","","",1,"","","","","",2,2,2,"","","",2,1,"","",2,"",2,3,2
Carex remota,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,+,"","","","","","","","","","","","","","","","","","","","","","",2,2,"","","","",1,1,""
Carex sylvatica,"","","","","","","","",+,2,"","","",+,"","","","","","","","","","",+,"",+,"","","",+,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Carpinus betulus,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","",+,"",+,+,"",+,2,"","","","","","","","","","","",""
Castanea sativa,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","",""
Centaurea nigrescens subsp. pinnatifida,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","",1,1,"","","","","","",1,"","","","","","","","",1
Centaurium erythraea subsp. erythraea,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"",""
Cephalanthera longifolia,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","",r,"","","","","","","","","","","","","","",+
Cerastium brachypetalum subsp. brachypetalum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",+,"","","","","","","","","",r,"","",r,r,r,r,"","","","","","","","","","","","",""
Cervaria rivini,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"",1,"","","","","","","","","","","","","","","","","","","","",""
Chaerophyllum temulum,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
