species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,23
Euphorbia amygdaloides,"","","","","","","","","","","",+,"","","","","","",+,+,"",""
Euphorbia cyparissias,"","","","","","","","","","","","","","",+,"",+,+,"","",+,+
Euphorbia dulcis,+,"",+,"","",+,"","","","","","",+,1,"","",+,"","","",+,+
Euphrasia officinalis s.l.,"","","","","","","","","","","","","","","","","","",+,"","",""
Festuca heterophylla,"","","",1,"","","",1,"",1,"","","",2,+,"",1,4,"","","",""
Fragaria vesca subsp. vesca,+,+,"",+,1,+,+,+,1,2,+,"","","",2,1,1,"","","","",""
Fragaria viridis subsp. viridis,"","","","","","","","","","","","","","","","","",+,"","",+,+
Galega officinalis,"","","","","","","","","","",+,"","","","","","","",+,"","",""
Galeopsis angustifolia subsp. angustifolia,"","","","","","","","","","","","","","","","",+,"","","","",""
Galium aparine,"","","","","","","","","","",+,"","","","","","","","","","",""
Galium mollugo,"","",+,"","","","","","","",+,+,"","","","","","","","",+,""
Galium odoratum,+,+,1,"",2,"",+,+,"","","",+,"","","","","","","","","",""
Galium rotundifolium subsp. rotundifolium,"","","","","","",+,2,"","","","","","","","","","","","","",""
Galium verum,+,"","","","","","","","",+,"","",+,"",+,"","",2,"","","",2
Geranium lucidum,+,"","","","","","","","",+,"","","","","","","","","","","",""
Geranium molle,"","","","","","","","","","","","",+,"","","","","","","","",""
Geranium nodosum,+,"",+,"",+,+,+,+,2,"",+,+,+,"","","",+,+,+,"","",""
Geranium robertianum,+,+,+,"",1,"","","","","",+,2,"","","","","","","","",+,""
Geum urbanum,+,"","","","",+,"","","","","","","","","","","",+,+,"","",""
Helianthemum nummularium s.l.,"","","","","","","","","",1,"","","","",+,"",1,+,"",1,"",""
Helichrysum italicum s.l.,"","","","","","","","","","","","","","","",+,"","","","","",""
Helleborus foetidus subsp. foetidus,1,"","","","","","","","","","",+,+,+,+,"",+,"",+,"",+,""
Hepatica nobilis,"","","","","","","","","","","","",+,+,"","",+,+,"",1,"",+
Heracleum sphondylium,"","",+,"","","","","",+,"",1,1,+,"","","","","",1,"","",""
Hieracium murorum,"",+,+,+,"",+,1,+,"","",+,"","","",+,+,"","","","","",+
Hippocrepis comosa subsp. comosa,"","","","","","","","","","","","","","","","","","","","","",+
Hypericum montanum,+,"","","","",+,"",+,"","",+,"","","","",+,"","","","","",""
Hypericum perforatum s.l.,"","","","","",+,"","","","","","","","","",+,"","","","","",""
Impatiens noli-tangere,"","","","",+,"","","","","","",2,"","","","","","","","","",""
Inula conyzae,"","","","","","","","","","","","","","","","","","","","",+,""
Inula salicina,"","","","","","","","","","","","","","","","","","","","",+,""
Lamium galeobdolon s.l.,"",+,"","",+,+,"","","","","","","","","","","","","","","",""
Lathyrus aphaca subsp. aphaca,"","","","","","","","","",+,"","","","","","","","","","","",""
Lathyrus sphaericus,"","","","","","","","","","","","","","","","","",+,"","",+,+
Lathyrus vernus,"","","","","","","","","","","","","","","","",+,"","","","",""
Leontodon hispidus subsp. hispidus,+,"","",+,"","","","","","","","","","",+,"",+,+,"","","",""
Lilium martagon,"","",+,+,+,"","","","","","","","","","","","","","","","",""
Lonicera caprifolium,"","","","","","","","","","","","",+,"","","","","","","",+,""
Lotus corniculatus s.l.,"","","","","","","","","",+,"","","","",1,1,1,"","","","",""
Lotus herbaceus,"","","","","","","","","","","","","","","",+,"","","","","",+
Luzula campestris subsp. campestris,"","","",+,"",+,"","","","","","","","","","","","",+,+,"",""
Luzula forsteri,"","","","","","","","","","","","","","",+,"",+,"",+,"","",""
Lychnis flos-cuculi subsp. flos-cuculi,"","","","","","","","","",+,"","","","",+,"","","","","","",""
Lysimachia punctata,"","","","","","","","","","","","","","","","","","",+,"","",""
Malva moschata,+,"","","","","","","","","","","","","","","","","","","","",""
Medicago arabica,"","","","","","","","","","","","","","","","",+,"","","",+,""
Medicago lupulina,"","","","","","","","","","","","","","","",+,+,"","","",+,""
Melica uniflora,"",+,"","","","","",+,"","","","","","","","","","","","","",""
Mercurialis perennis,"","","","",1,"","","","","","","","","","","","","","","","",""
Milium effusum subsp. effusum,+,"",+,"","","",+,2,"","","","","","","","","","","","","",""
Monotropa hypopitys,"","","","","","","","","","","","","","","","","",+,"","","",""
Murbeckiella zanonii,"","","","","","","","","","","",+,+,"","","","","","","","",""
Mycelis muralis subsp. muralis,"",+,+,"","",+,"","",+,"","","","","","","","","","","","",""
Myosotis ramosissima subsp. ramosissima,"","","","","","","","","",+,"","","","","","","","","","","",""
Myosotis silvatica s.l.,"","","",+,"","",1,+,"","",+,"",+,"","","","","","","","",""
Neotinea tridentata,"","","","","","","","","","","","","","","",+,"","","","","",""
Neottia nidus-avis,"","","","","","","","","","","","","","","","","",+,"","","",""
Neottia ovata,"","","","","","","","","","","","","","",+,"","","","","","",""
Oenanthe pimpinelloides,"","","","","","","","","","","","","","","","",+,"",+,"","",""
Ophrys bertolonii subsp. bertolonii,"","","","","","","","","","","","","","","","","",+,"","","",""
Ophrys holosericea subsp. holosericea,"","","","","","","","","","","","","","","","","",+,"","","",""
Orchis mascula subsp. mascula,"","","","","","","","","","","","","","",+,"","","","","","",""
Orchis provincialis,"","","","","","","","","","","","","","","","","",+,"","","",""
Orchis purpurea,"","","","","","","","","","","","","","","","","","","","",+,""
Orchis simia,"","","","","","","","","","","","","","","","","",+,"","",1,""
Origanum vulgare subsp. vulgare,"","","","","","","","","","","","","","","","","","",+,"","",""
Oxalis acetosella,"","","","","",+,"","","","","","","","","","","","","","","",""
Parentucellia latifolia,"","","","","","","","","","","","","","",+,"","","","","","",""
Paris quadrifolia,"","",+,"","","","",+,"","","","","","","","","","","","","",""
Physospermum cornubiense,"","","","","","","","","","","","","","","",+,"","","","","",""
Phyteuma ovatum s.l.,"","","","",+,+,"",+,"","","","","","","","","","","","","",""
Pilosella officinarum,"","","","","","","","","",+,"","","","","","","","","","","",""
Plantago lanceolata,"","","","","","","","","",+,"","","","",+,"",+,"","","","",""
Plantago major,"","","","","","","","","","","","","","","","","","",+,"","",""
Platanthera bifolia,"","","","","","","","","","","","","","",+,"","","","","","",+
Poa bulbosa subsp. bulbosa,"","","","","","","","","","","","",+,"",+,"","","","","","",""
Poa nemoralis subsp. nemoralis,+,"","","",1,+,2,+,"","",+,"","","","","","","","","","",""
Poa trivialis,"","","","","","","","","","","","","","",+,"","","","","",+,""
Polygala alpestris,"","","","","","","","","",1,"","","","","","","","","","","",""
Polygala alpestris s.l.,"","","","","","","","","","","","","","","","","",+,+,"","",""
Polygala chamaebuxus,"","","","","","","","","","","","","","","","",1,"","","","",+
Polygala nicaeensis s.l.,"","","","","","","","","","","","","","",+,"","","","","","",+
Polygonatum multiflorum,"","",+,"",+,+,+,"","","","","","","","","","","","","","",""
Polygonatum verticillatum,+,"","",+,"",+,+,+,"","","","","","","","","","","","","",""
Polystichum aculeatum,"","","","","","",+,"",+,"","",2,"","","","","","","","","",""
Potentilla reptans,"","","","","","","","","",1,"","","",+,"","","","","","","",""
Poterium sanguisorba s.l.,"","","","","","","","","",+,"","","","","",+,"","","","","",""
Prenanthes purpurea,"",+,+,"","",+,+,"",+,"","","","","","","","","",+,"","",""
Primula vulgaris subsp. vulgaris,"","","","","","","","","","","","",+,1,+,"",1,2,"",1,+,2
Prunella vulgaris subsp. vulgaris,"","","","","","","","","","","","","","","","",+,"",+,"","",""
Pteridium aquilinum subsp. aquilinum,"","","","","","","","","",2,"","","","",2,2,"",1,1,"","",+
Pulicaria dysenterica,"","","","","","","","","","","","","","","","","","",+,"","",""
Pulmonaria hirta,"","","","","","","",+,"","","",+,+,"","","","",+,"","","",""
Pyrola minor,"","","","","","","",+,"","","","","","","","","","","","","",""
Ranunculus bulbosus,"","","","","","","","","",+,"","","","",+,"",+,"",+,"","",""
Ranunculus lanuginosus,+,"",2,+,1,+,+,"","","",+,"",+,+,"","",+,"","","","",""
Ranunculus platanifolius,"","","","",2,"","","","","","","",2,"","","","","","","","",""
Rhagadiolus stellatus,"","","","","","","","","","","","","","","","","","","","",+,""
Rhinanthus alectorolophus subsp. alectorolophus,"","","","","","",+,+,"","","","","","","","","","","","","",""
Rhinanthus minor,"","","","","","","","","",+,"","","","",+,"","","","","","",""
Rubus caesius,"","","","","","","","","",+,"",+,"",+,"","","","","","","",""
Rubus ulmifolius,"","","","","","","","","",+,"","","","","",+,"",+,+,"","",""
Rumex acetosella s.l.,"","","","","","","","","",+,"",1,"","","","","","","","","",""
Rumex arifolius,1,"",1,+,1,+,2,1,1,+,"","","",+,"","","","","","","",""
Rumex obtusifolius s.l.,1,+,+,"","","","","","","","","","","","","","","","","","",""
Rumex sanguineus,"","","","","","","","","","","","","","","","",+,"","","","",""
Salvia verbenaca,"","","","","","","","","",+,"","","","","","","","","","","",""
Sambucus ebulus,3,"","","","","","","",1,"","","","","","","","","",+,"","",""
Sanicula europaea,"","","",+,+,"","","",1,"","",+,"","","","",+,+,"","","",+
Saxifraga bulbifera,"","","","","","","","","","","",+,"","","","","","","","","",""
Saxifraga rotundifolia subsp. rotundifolia,"",+,1,+,1,"",+,1,1,"","","",+,"","","","","","","","",""
