YEAR,SQUARE,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,CLARITY,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,DOM_PART_SIZE,MACROPHYTE_COVER,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
1990,JDKZQA,1,28-Sep-90,1,10,20,10,1,1,3,1,0,0,40,30,30,2,0,11e,11,Easterly lowlands (England),ENG,Nottinghamshire
1990,DOASNU,1,03-Oct-90,2.3,20,40,30,1,1,3,1,0,0,20,0,80,8,20,11e,11,Easterly lowlands (England),ENG,Lincolnshire
1990,TJPYWU,1,02-Oct-90,0.4,3,5,4,1,1,3,1,0,0,0,0,100,8,60,12e,12,Easterly lowlands (England),ENG,Lincolnshire
1990,VCQDRX,1,21-Jun-90,1,12,18,15,3,1,3,1,0,90,10,0,0,-9,0,18e,20,Uplands (England),ENG,South Yorkshire
1990,NBXWRU,1,25-Jun-90,0.5,2,2,2,1,1,3,1,0,3,90,2,5,-2,0,10e,10,Westerly lowlands (England),ENG,South Yorkshire
1990,OSGDGJ,1,04-Oct-90,2.8,60,80,40,1,1,3,1,0,0,0,10,90,8,80,9e,9,Easterly lowlands (England),ENG,North Lincolnshire Unitary Authority
1990,NQYHWK,1,20-Jun-90,4,12,12,15,2,1,3,1,20,75,23,1,1,-6.5,0,17e,16,Uplands (England),ENG,West Yorkshire
1990,SURVKO,1,21-Jun-90,0.8,2,4,2,1,1,3,1,0,25,60,10,5,-2,10,10e,10,Westerly lowlands (England),ENG,West Yorkshire
1990,HHNXYQ,1,21-Jun-90,2,20,25,15,1,1,3,1,1,95,0,0,5,-7.75,0,18e,20,Uplands (England),ENG,Lancashire
1990,XTIHBS,1,06-Jun-90,3,75,55,25,1,1,3,1,0,5,50,10,35,6.5,30,10e,10,Westerly lowlands (England),ENG,West Yorkshire
1990,TAJFPX,1,04-Oct-90,1.3,15,22,18,1,1,3,1,0,0,5,5,90,9.5,40,9e,9,Easterly lowlands (England),ENG,East Riding of Yorkshire Unitary Authority
1990,ZLWHEN,1,10-Oct-90,3,150,150,150,1,1,3,1,0,0,0,10,90,8,5,16e,15,Westerly lowlands (England),ENG,East Riding of Yorkshire Unitary Authority
1990,HGBYWJ,1,05-Oct-90,0.7,5,5,5,1,1,3,1,0,5,0,5,90,8,70,7e,7,Westerly lowlands (England),ENG,East Riding of Yorkshire Unitary Authority
1990,UCUYAE,1,26-Jun-90,3.5,15,30,45,3,1,3,1,0,80,20,0,0,-7.75,0,16e,15,Westerly lowlands (England),ENG,Lancashire
1990,HCRUMQ,1,27-Jun-90,0.6,15,25,15,3,1,3,1,0,5,50,40,5,0,30,17e,16,Uplands (England),ENG,Lancashire
1990,RZPWIO,1,18-Jun-90,1,5,10,2,2,1,3,1,0,40,0,20,40,-6.5,5,10e,10,Westerly lowlands (England),ENG,West Yorkshire
1990,BOONVD,1,12-Jun-90,3,15,30,15,1,1,3,1,0,0,0,0,100,8,2,10e,10,Westerly lowlands (England),ENG,North Yorkshire
1990,IDAVFQ,1,08-Jun-90,1,100,100,100,1,1,3,1,0,0,0,0,100,8,40,9e,9,Easterly lowlands (England),ENG,East Riding of Yorkshire Unitary Authority
1990,VGSKFD,1,11-Sep-90,0.5,3,3,3,1,1,3,1,0,0,0,0,100,6.5,50,16e,15,Westerly lowlands (England),ENG,Lancashire
1990,COCEEQ,1,28-Jun-90,4.5,15,20,16,3,1,3,1,0,40,50,9,1,-6.5,0,19e,21,Uplands (England),ENG,Lancashire
1990,THOXDJ,1,21-Jun-90,0.8,25,30,50,4,1,3,1,0,0,75,25,0,-3.25,0,19e,21,Uplands (England),ENG,North Yorkshire
1990,LERYBB,1,13-Jun-90,12,15,60,45,3,1,3,1,0,80,15,5,0,-9,61,10e,10,Westerly lowlands (England),ENG,North Yorkshire
1990,MZHVIH,1,02-Oct-90,2.5,30,30,30,1,1,3,1,0,0,0,10,90,8,40,16e,15,Westerly lowlands (England),ENG,East Riding of Yorkshire Unitary Authority
1990,CKQTZQ,1,07-Jun-90,0.3,2,3,1,1,1,3,1,0,0,25,40,35,2,10,7e,7,Westerly lowlands (England),ENG,East Riding of Yorkshire Unitary Authority
1990,HKUCRW,1,14-Jun-90,1,19,34,16,1,1,3,1,0,0,0,0,100,9.5,20,16e,15,Westerly lowlands (England),ENG,Cumbria
1990,WRBZTH,1,27-Jun-90,0.5,10,10,10,1,1,3,1,0,20,5,5,70,6.5,5,16e,15,Westerly lowlands (England),ENG,Lancashire
1990,FOXCNS,1,25-Jul-90,0.5,4,4,3,5,1,3,1,0,30,0,0,70,9.5,5,23e,23,Uplands (England),ENG,North Yorkshire
1990,GTSBAQ,1,18-Jun-90,3,20,25,20,2,1,3,1,0,15,75,5,5,-4.5,15,16e,15,Westerly lowlands (England),ENG,Cumbria
1990,KZHPIL,1,05-Jul-90,1,50,55,50,2,1,3,1,0,0,0,10,90,8,0,16e,15,Westerly lowlands (England),ENG,Cumbria
1990,WBZDEZ,1,10-Jul-90,1,2,5,5,2,1,3,1,0,90,10,0,0,-7.75,0,19e,21,Uplands (England),ENG,Cumbria
1990,DEOWTI,1,11-Jul-90,0.5,10,10,10,3,1,3,1,0,50,45,5,0,-5.5,10,23e,23,Uplands (England),ENG,North Yorkshire
1990,NFQGQH,1,06-Jun-90,2,5,10,5,2,1,3,1,0,0,60,35,5,0,0,9e,9,Easterly lowlands (England),ENG,North Yorkshire
1990,GKPUAI,1,14-Sep-90,0.9,15,30,25,1,1,3,1,0,0,80,5,15,-3.25,100,13e,13,Westerly lowlands (England),ENG,Cumbria
