YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,YYKNUC,1,24-Oct-07,1.5,10,19,9,2,,1,0,60,39,1,0,22s,30,True uplands (Scotland),SCO,South Lanarkshire
2007,WWZSMA,1,29-Oct-07,0.75,10,11,14,4,,1,0,15,80,5,0,19s,28,Intermediate uplands and Islands (Scotland),SCO,South Lanarkshire
2007,FIAYXI,1,05-Jun-07,0.45,37,39,34,2,4,1,0,80,5,0,15,22s,30,True uplands (Scotland),SCO,Scottish Borders
2007,DKUMUJ,1,29-May-07,2.2,7,25,15,,4,1,0,50,48,2,0,27s,35,Lowlands (Scotland),SCO,Scottish Borders
2007,FAQWDV,1,11-Jun-07,3.5,7,10,7,3,4,1,0,40,54,5,1,27s,35,Lowlands (Scotland),SCO,Scottish Borders
2007,JKBXAQ,1,04-Jun-07,0.7,4,7,4,2,4,1,0,0,25,65,10,25s,33,Lowlands (Scotland),SCO,Scottish Borders
2007,GCFNAZ,1,19-Sep-07,2.1,26,29,25,3,,1,0,20,50,30,0,13s,26,Lowlands (Scotland),SCO,Argyll & Bute
2007,MENREM,1,22-Sep-07,1,5,8,5,2,,1,10,68,30,2,0,7s,25,Lowlands (Scotland),SCO,North Ayrshire
2007,QASSZL,1,17-Oct-07,1.2,17,10,9,3,,1,0,75,24,1,0,18s,27,Intermediate uplands and Islands (Scotland),SCO,North Ayrshire
2007,ESYNMZ,1,19-Jun-07,0.8,8,8,8,1,4,1,0,50,40,0,10,27s,35,Lowlands (Scotland),SCO,North Ayrshire
2007,MEYBKX,1,14-Jun-07,0.8,5,10,5,3,4,1,0,90,10,0,0,25s,33,Lowlands (Scotland),SCO,East Renfrewshire
