"visit_code","date","year","survey_year","survey_season","site","trapping_night","date_of_last_fire","x_elliotts_open","x_cages_open","comments"
"161-1-51-1",2016-12-12,2016,"161","1617","site_1-51","1",2001-03-01,10,6,""
"161-1-51-2",2016-12-12,2016,"161","1617","site_1-51","2",2001-03-01,10,6,""
"161-1-51-3",2016-12-14,2016,"161","1617","site_1-51","3",2001-03-01,10,6,""
"161-1-52-1",2016-12-08,2016,"161","1617","site_1-52","1",2007-10-29,10,6,"Nil captures"
"161-1-52-2",2016-12-09,2016,"161","1617","site_1-52","2",2007-10-29,10,6,""
"161-1-52-3",2016-12-10,2016,"161","1617","site_1-52","3",2007-10-29,10,6,""
"161-1-53-1",2016-12-08,2016,"161","1617","site_1-53","1",2007-10-29,10,6,""
"161-1-53-2",2016-12-09,2016,"161","1617","site_1-53","2",2007-10-29,10,6,""
"161-1-53-3",2016-12-10,2016,"161","1617","site_1-53","3",2007-10-29,10,6,"Nil captures"
"161-1-54-1",2016-12-08,2016,"161","1617","site_1-54","1",2005-09-14,10,6,""
"161-1-54-2",2016-12-09,2016,"161","1617","site_1-54","2",2005-09-14,10,6,""
"161-1-54-3",2016-12-10,2016,"161","1617","site_1-54","3",2005-09-14,10,6,""
"161-1-55-1",2016-12-08,2016,"161","1617","site_1-55","1",2007-10-29,10,6,"Nil captures"
"161-1-55-2",2016-12-09,2016,"161","1617","site_1-55","2",2007-10-29,10,6,"Nil captures"
"161-1-55-3",2016-12-10,2016,"161","1617","site_1-55","3",2007-10-29,10,6,""
"161-1-56-1",2016-12-08,2016,"161","1617","site_1-56","1",2007-10-29,10,6,""
"161-1-56-2",2016-12-09,2016,"161","1617","site_1-56","2",2007-10-29,10,6,""
"161-1-56-3",2016-12-10,2016,"161","1617","site_1-56","3",2007-10-29,10,6,""
"161-1-57-1",2016-12-12,2016,"161","1617","site_1-57","1",2001-03-01,10,6,""
"161-1-57-2",2016-12-13,2016,"161","1617","site_1-57","2",2001-03-01,10,6,""
"161-1-57-3",2016-12-14,2016,"161","1617","site_1-57","3",2001-03-01,10,6,""
"161-1-58-1",2016-12-09,2016,"161","1617","site_1-58","1",2014-05-15,10,6,""
"161-1-58-2",2016-12-10,2016,"161","1617","site_1-58","2",2014-05-15,10,6,""
"161-1-58-3",2016-12-11,2016,"161","1617","site_1-58","3",2014-05-15,10,6,""
"161-1-59-1",2016-12-09,2016,"161","1617","site_1-59","1",1986-10-09,10,6,""
"161-1-59-2",2016-12-10,2016,"161","1617","site_1-59","2",1986-10-09,10,6,""
"161-1-59-3",2016-12-11,2016,"161","1617","site_1-59","3",1986-10-09,10,6,""
"161-1-60-1",2016-12-12,2016,"161","1617","site_1-60","1",2009-03-24,10,6,""
"161-1-60-2",2016-12-13,2016,"161","1617","site_1-60","2",2009-03-24,10,6,""
"161-1-60-3",2016-12-14,2016,"161","1617","site_1-60","3",2009-03-24,10,6,""
"161-1-6-1",2016-12-11,2016,"161","1617","site_1-6","1",1994-08-01,10,6,""
"161-1-61-1",2016-12-09,2016,"161","1617","site_1-61","1",2002-01-02,10,6,"Nil Captures"
"161-1-61-2",2016-12-10,2016,"161","1617","site_1-61","2",2002-01-02,10,6,""
"161-1-61-3",2016-12-11,2016,"161","1617","site_1-61","3",2002-01-02,10,6,""
"161-1-6-2",2016-12-12,2016,"161","1617","site_1-6","2",1994-08-01,10,6,""
"161-1-62-1",2016-12-12,2016,"161","1617","site_1-62","1",2009-03-24,10,6,""
"161-1-62-2",2016-12-13,2016,"161","1617","site_1-62","2",2009-03-24,10,6,""
"161-1-62-3",2016-12-14,2016,"161","1617","site_1-62","3",2009-03-24,10,6,""
"161-1-6-3",2016-12-13,2016,"161","1617","site_1-6","3",1994-08-01,10,6,""
"161-1-63-1",2016-12-12,2016,"161","1617","site_1-63","1",2009-03-24,10,6,"Nil Captures"
"161-1-63-2",2016-12-13,2016,"161","1617","site_1-63","2",2009-03-24,10,6,""
"161-1-63-3",2016-12-14,2016,"161","1617","site_1-63","3",2009-03-24,10,6,""
"161-1-64-1",2016-12-05,2016,"161","1617","site_1-64","1",2001-03-01,10,6,""
"161-1-64-2",2016-12-06,2016,"161","1617","site_1-64","2",2001-03-01,10,6,""
"161-1-64-3",2016-12-07,2016,"161","1617","site_1-64","3",2001-03-01,10,6,"Nil captures"
"161-1-65-1",2016-12-05,2016,"161","1617","site_1-65","1",2001-03-01,10,6,""
"161-1-65-2",2016-12-06,2016,"161","1617","site_1-65","2",2001-03-01,10,6,""
"161-1-65-3",2016-12-07,2016,"161","1617","site_1-65","3",2001-03-01,10,6,"Nil captures"
"161-1-9-1",2016-12-08,2016,"161","1617","site_1-9","1",2003-12-22,10,6,""
"161-1-9-2",2016-12-09,2016,"161","1617","site_1-9","2",2003-12-22,10,6,""
"161-1-9-3",2016-12-12,2016,"161","1617","site_1-9","3",2003-12-22,10,6,""
"161-2-12-1",2016-12-05,2016,"161","1617","site_2-12","1",2007-10-24,10,6,"Nil captures"
"161-2-12-2",2016-12-06,2016,"161","1617","site_2-12","2",2007-10-24,10,6,""
"161-2-12-3",2016-12-07,2016,"161","1617","site_2-12","3",2007-10-24,10,6,""
"161-2-13-1",2016-12-05,2016,"161","1617","site_2-13","1",2001-03-01,10,6,""
"161-2-13-2",2016-12-06,2016,"161","1617","site_2-13","2",2001-03-01,10,6,"Nil captures"
"161-2-13-3",2016-12-07,2016,"161","1617","site_2-13","3",2001-03-01,10,6,""
"161-2-2-1",2016-12-09,2016,"161","1617","site_2-2","1",2002-01-02,10,6,""
"161-2-2-2",2016-12-10,2016,"161","1617","site_2-2","2",2002-01-02,10,6,""
"161-2-2-3",2016-12-11,2016,"161","1617","site_2-2","3",2002-01-02,10,6,""
"161-2-4-1",2016-12-12,2016,"161","1617","site_2-4","1",NA,10,6,""
"161-2-4-2",2016-12-13,2016,"161","1617","site_2-4","2",NA,10,6,""
"161-2-4-3",2016-12-14,2016,"161","1617","site_2-4","3",NA,10,6,"Nil Captures"
"161-2-7-1",2016-12-05,2016,"161","1617","site_2-7","1",2001-03-01,10,6,""
"161-2-7-2",2016-12-06,2016,"161","1617","site_2-7","2",2001-03-01,10,6,"Nil captures"
"161-2-7-3",2016-12-07,2016,"161","1617","site_2-7","3",2001-03-01,10,6,""
"161-4-1-1",2016-12-09,2016,"161","1617","site_4-1","1",2002-01-02,10,6,""
"161-4-1-2",2016-12-10,2016,"161","1617","site_4-1","2",2002-01-02,10,6,""
"161-4-1-3",2016-12-11,2016,"161","1617","site_4-1","3",2002-01-02,10,6,""
"161-4-24-1",2016-12-08,2016,"161","1617","site_4-24","1",1972-12-23,10,6,"Nil Captures"
"161-4-24-2",2016-12-09,2016,"161","1617","site_4-24","2",1972-12-23,10,6,"Nil Captures"
"161-4-24-3",2016-12-10,2016,"161","1617","site_4-24","3",1972-12-23,10,6,"Nil Captures"
"161-4-B-1",2016-12-08,2016,"161","1617","site_4-B","1",1983-09-01,10,6,""
"161-4-B-2",2016-12-09,2016,"161","1617","site_4-B","2",1983-09-01,10,6,""
"161-4-B-3",2016-12-10,2016,"161","1617","site_4-B","3",1983-09-01,10,6,""
"161-4-C-1",2016-12-10,2016,"161","1617","site_4-C","1",1972-12-23,10,6,""
"161-4-C-2",2016-12-11,2016,"161","1617","site_4-C","2",1972-12-23,10,6,""
"161-4-C-3",2016-12-12,2016,"161","1617","site_4-C","3",1972-12-23,10,6,""
"161-6-109-1",2016-12-08,2016,"161","1617","site_6-109","1",1982-08-30,10,6,""
"161-6-109-2",2016-12-09,2016,"161","1617","site_6-109","2",1982-08-30,10,6,""
"161-6-109-3",2016-12-10,2016,"161","1617","site_6-109","3",1982-08-30,10,6,""
"161-6-115-1",2016-12-08,2016,"161","1617","site_6-115","1",2003-12-22,10,6,""
"161-6-115-2",2016-12-09,2016,"161","1617","site_6-115","2",2003-12-22,10,6,""
"161-6-115-3",2016-12-10,2016,"161","1617","site_6-115","3",2003-12-22,10,6,""
"161-6-12-1",2016-12-11,2016,"161","1617","site_6-12","1",1994-08-01,10,6,"Nil Captures"
"161-6-12-2",2016-12-12,2016,"161","1617","site_6-12","2",1994-08-01,10,6,""
"161-6-12-3",2016-12-13,2016,"161","1617","site_6-12","3",1994-08-01,10,6,""
"161-6-144-1",2016-12-10,2016,"161","1617","site_6-144","1",1991-10-01,10,6,""
"161-6-144-2",2016-12-11,2016,"161","1617","site_6-144","2",1991-10-01,10,6,""
"161-6-144-3",2016-12-12,2016,"161","1617","site_6-144","3",1991-10-01,10,6,"Nil captures"
"161-6-149-1",2016-12-07,2016,"161","1617","site_6-149","1",2003-12-22,10,6,""
"161-6-149-2",2016-12-08,2016,"161","1617","site_6-149","2",2003-12-22,10,6,""
"161-6-149-3",2016-12-09,2016,"161","1617","site_6-149","3",2003-12-22,10,6,""
"161-6-157-1",2016-12-11,2016,"161","1617","site_6-157","1",1972-12-23,10,6,""
"161-6-157-2",2016-12-12,2016,"161","1617","site_6-157","2",1972-12-23,10,6,""
"161-6-157-3",2016-12-13,2016,"161","1617","site_6-157","3",1972-12-23,10,6,"Nil Captures"
"161-6-30-1",2016-12-07,2016,"161","1617","site_6-30","1",2003-12-22,10,6,""
"161-6-30-2",2016-12-08,2016,"161","1617","site_6-30","2",2003-12-22,10,6,""
"161-6-30-3",2016-12-09,2016,"161","1617","site_6-30","3",2003-12-22,10,6,""
"161-6-42-1",2016-12-11,2016,"161","1617","site_6-42","1",2003-09-04,10,6,""
"161-6-42-2",2016-12-12,2016,"161","1617","site_6-42","2",2003-09-04,10,6,""
"161-6-42-3",2016-12-13,2016,"161","1617","site_6-42","3",2003-09-04,10,6,""
"161-6-45-1",2016-12-08,2016,"161","1617","site_6-45","1",2003-12-22,10,6,"Nil Captures"
"161-6-45-2",2016-12-09,2016,"161","1617","site_6-45","2",2003-12-22,10,6,""
"161-6-45-3",2016-12-10,2016,"161","1617","site_6-45","3",2003-12-22,10,6,""
"161-6-54A-1",2016-12-08,2016,"161","1617","site_6-54A","1",2001-10-19,10,6,"Nil Captures"
"161-6-54A-2",2016-12-09,2016,"161","1617","site_6-54A","2",2001-10-19,10,6,"Nil Captures"
"161-6-54A-3",2016-12-10,2016,"161","1617","site_6-54A","3",2001-10-19,10,6,""
"161-6-64-1",2016-12-08,2016,"161","1617","site_6-64","1",2003-12-22,10,6,"Nil Captures"
"161-6-64-2",2016-12-09,2016,"161","1617","site_6-64","2",2003-12-22,10,6,"Nil Captures"
"161-6-64-3",2016-12-10,2016,"161","1617","site_6-64","3",2003-12-22,10,6,""
"161-7-1-1",2016-12-08,2016,"161","1617","site_7-1","1",2003-12-22,10,6,""
"161-7-1-2",2016-12-09,2016,"161","1617","site_7-1","2",2003-12-22,10,6,""
"161-7-1-3",2016-12-10,2016,"161","1617","site_7-1","3",2003-12-22,10,6,""
"161-7-20-1",2016-12-08,2016,"161","1617","site_7-20","1",2003-12-22,10,6,""
