Date	Site	Exposure	Transect #	Tidal Height	Acrosiphonia spp	Ahnfeltia pacifica	Alaria marginata	Analipus japonicus	Chondracanthus exasperatus	Cladophora spp	Codium fragile	Copamania spp	Corallina vancouveriensis	Egregia menziesii	Encrusting coralline algae	Endocladia muricata	Enteromorpha intestinalis	Filamentous rhodophyta	Fucus spp	Gastroclonium coulteri	Halosaccion glandiforme	Hedophyllum sessile	Laminaria setchelli	Leathesia difformis	Mastocarpus papillatus	Mazzaella splendens	Microcladia borealis	Microcladia coulteri	Nemalion spp	Neorhodomela larix	Odonthalia floccosa	Pelvitiopsis spp	Petrocelis middendorfii	Phyllospadix scouleri	Porphyra spp	Prasiola spp	Prionitis spp	Sargassum muticum	Scytosiphon lomentaria	Ulva spp	Bare rock
"2-Aug-97"	"Wizard"	"Exposed"	"12"	3	0	0	0	0	0	20	0	0	0	0	0.5	0	0	0.5	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"12"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	70	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	1	0	0	0	0	0	0	0	0	0	93	15	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	1.5	0	0	0	0	0	15	0	0	0.5	0	0	0	0	10	1	0	0	0	0	5	5	5	0	0	15	0	0	0	0	0	0	0	35	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	2	0	0	0	0	0	40	0	0	5	0	5	0	0	0	0	0	0.5	0	0	0.5	25	0	0	0	0	0	0	0	20	0	0	0	5	0	0	10	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	2.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"13"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	0.5	0	0	0	0	0	0	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	1	0	0	65	0	0	0	0	0	10	13	25	0	0	5	0	0	0	0	0	0	5	50	0	0	0	0	0	0	5	0	0	0	50	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	1.5	0	0	0	0	0	15	0	0	0.5	0	0	0	0	10	1	0	0	0	0	5	5	5	0	0	15	0	0	0	0	0	0	0	35	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	2	0	0	0	0	0	40	0	0	5	0	5	0	0	0	0	0	0.5	0	0	0.5	25	0	0	0	0	0	0	0	20	0	0	0	5	0	0	10	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	2.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"14"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	0.5	0	0	10	0	0	0	0	0	0	95	35.5	0	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	10	0	0	0	100	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	1	0	0	0	0	0	0	0	0	20	55	40	0	0	5	2	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	1.5	0	0	0	0	0	0	0.5	0	5	10	0	0	0	25	0	0	5	0	0	0	30	0	0	0	0	0	0	0	25	0	0	0	0	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	2	0	0	0	0	0	25	0.5	0	30	0	10	0	0	0	12	0	20	0	0	5	25	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"15"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"2"	0.5	0	0	0	0	0	0	0	0	0	70	20	0	0	10	0	0	0	0	0	0	20	40	0	25	0	0	0	0	0	0	0	0	20	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"2"	1	0	0	0	0	0	0	0	0	0.5	6	0.5	0	0	25	0	0	0	0	0	0	0.5	50	0	30	0	0	0	0	0	0	0	0	100	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"2"	1.5	0	0	0	0	0	0	0	0	10	0	0.5	0	0	45	39	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	60	0
